fbref_team,norm,possible_cfdm_candidates
Darmstadt 98,darmstadt 98,"[RB Leipzig, Unterhaching, Darmstadt, Milan, Sunderland, Strasbourg, Toulouse, Evian Thonon Gaillard, Brest, Fulham, Lens, Vicenza, Siena, Ancona, Napoli, Kaiserslautern, Mainz, Norwich, Brentford, Sp Gijon, West Ham, Spezia, Como, Rennes, Tenerife, Clermont, Xerez, Bari, Ath Madrid, Valladolid, Espanol, MGladbach, Reims, QPR, Leganes, Schalke 04, Holstein Kiel, Ath Bilbao, Empoli, Dortmund, Lazio, Real Madrid, Numancia, La Coruna, Osasuna, Cardiff, Luton, Sochaux, Zaragoza, Bradford, Girona, Caen, Palermo, Arles, Portsmouth, Bastia, 'M\'gladbach', Oviedo, Pescara, Catania, Messina, Recreativo, Lille, Sampdoria, Novara, Stoke, Almeria, Karlsruhe, Fiorentina, Hamburg, Amiens, Elche, Le Havre, Wigan, Nantes, Barcelona, Atalanta, Blackburn, Livorno, Tottenham, Bologna, Ein Frankfurt, Udinese, Cadiz, Ipswich, Eibar, Wolfsburg, Valenciennes, Bayern Munich, Lyon, Reading, Boulogne, Brescia, Inter, Nurnberg, Birmingham, Lorient, Istres, Coventry, Perugia, West Brom, Metz, Celta, Liverpool, Angers, Valencia, Getafe, Leicester, Paris SG, Southampton, Genoa, Derby, Man City, Man United, Lecce, Albacete, Nice, Bournemouth, Duisburg, Sheffield United, Nottm Forest, Braunschweig, Dijon, Chelsea, Bolton, Stuttgart, Newcastle, Cagliari, Augsburg, Spal, Cesena, Salernitana, Reggina, Le Mans, Parma, Bochum, Charlton, Munich 1860, Troyes, Murcia, Ingolstadt, Hansa Rostock, Swansea, Ajaccio GFCO, Juventus, Arsenal, Treviso, Modena, St Pauli, Nancy, FC Koln, St Etienne, Malaga, Montpellier, Leeds, Monza, Mallorca, Hercules, Huesca, Villarreal, Guingamp, Santander, Cordoba, Chievo, Crotone, Hertha, Venezia, Betis, Sevilla, Greuther Furth, Union Berlin, Verona, Huddersfield, Werder Bremen, Blackpool, Brighton, Heidenheim, Las Palmas, Monaco, Hannover, Hoffenheim, Freiburg, Benevento, Frosinone, Everton, Ascoli, Bielefeld, Auxerre, Sedan, 'Nott\'m Forest', Piacenza, Aston Villa, Wolves, Sociedad, Paderborn, Alaves, Watford, Cremonese, Middlesbrough, Torino, Vallecano, Leverkusen, Aachen, Grenoble, Roma, Sassuolo, Cottbus, Marseille, Carpi, Burnley, Hull, Ajaccio, Granada, Fortuna Dusseldorf, Levante, Bordeaux, Crystal Palace, Nimes]"
Deportivo La Coruña,deportivo la corua,"[RB Leipzig, Unterhaching, Darmstadt, Milan, Sunderland, Strasbourg, Toulouse, Evian Thonon Gaillard, Brest, Fulham, Lens, Vicenza, Siena, Ancona, Napoli, Kaiserslautern, Mainz, Norwich, Brentford, Sp Gijon, West Ham, Spezia, Como, Rennes, Tenerife, Clermont, Xerez, Bari, Ath Madrid, Valladolid, Espanol, MGladbach, Reims, QPR, Leganes, Schalke 04, Holstein Kiel, Ath Bilbao, Empoli, Dortmund, Lazio, Real Madrid, Numancia, La Coruna, Osasuna, Cardiff, Luton, Sochaux, Zaragoza, Bradford, Girona, Caen, Palermo, Arles, Portsmouth, Bastia, 'M\'gladbach', Oviedo, Pescara, Catania, Messina, Recreativo, Lille, Sampdoria, Novara, Stoke, Almeria, Karlsruhe, Fiorentina, Hamburg, Amiens, Elche, Le Havre, Wigan, Nantes, Barcelona, Atalanta, Blackburn, Livorno, Tottenham, Bologna, Ein Frankfurt, Udinese, Cadiz, Ipswich, Eibar, Wolfsburg, Valenciennes, Bayern Munich, Lyon, Reading, Boulogne, Brescia, Inter, Nurnberg, Birmingham, Lorient, Istres, Coventry, Perugia, West Brom, Metz, Celta, Liverpool, Angers, Valencia, Getafe, Leicester, Paris SG, Southampton, Genoa, Derby, Man City, Man United, Lecce, Albacete, Nice, Bournemouth, Duisburg, Sheffield United, Nottm Forest, Braunschweig, Dijon, Chelsea, Bolton, Stuttgart, Newcastle, Cagliari, Augsburg, Spal, Cesena, Salernitana, Reggina, Le Mans, Parma, Bochum, Charlton, Munich 1860, Troyes, Murcia, Ingolstadt, Hansa Rostock, Swansea, Ajaccio GFCO, Juventus, Arsenal, Treviso, Modena, St Pauli, Nancy, FC Koln, St Etienne, Malaga, Montpellier, Leeds, Monza, Mallorca, Hercules, Huesca, Villarreal, Guingamp, Santander, Cordoba, Chievo, Crotone, Hertha, Venezia, Betis, Sevilla, Greuther Furth, Union Berlin, Verona, Huddersfield, Werder Bremen, Blackpool, Brighton, Heidenheim, Las Palmas, Monaco, Hannover, Hoffenheim, Freiburg, Benevento, Frosinone, Everton, Ascoli, Bielefeld, Auxerre, Sedan, 'Nott\'m Forest', Piacenza, Aston Villa, Wolves, Sociedad, Paderborn, Alaves, Watford, Cremonese, Middlesbrough, Torino, Vallecano, Leverkusen, Aachen, Grenoble, Roma, Sassuolo, Cottbus, Marseille, Carpi, Burnley, Hull, Ajaccio, Granada, Fortuna Dusseldorf, Levante, Bordeaux, Crystal Palace, Nimes]"
Derby County,derby county,"[RB Leipzig, Unterhaching, Darmstadt, Milan, Sunderland, Strasbourg, Toulouse, Evian Thonon Gaillard, Brest, Fulham, Lens, Vicenza, Siena, Ancona, Napoli, Kaiserslautern, Mainz, Norwich, Brentford, Sp Gijon, West Ham, Spezia, Como, Rennes, Tenerife, Clermont, Xerez, Bari, Ath Madrid, Valladolid, Espanol, MGladbach, Reims, QPR, Leganes, Schalke 04, Holstein Kiel, Ath Bilbao, Empoli, Dortmund, Lazio, Real Madrid, Numancia, La Coruna, Osasuna, Cardiff, Luton, Sochaux, Zaragoza, Bradford, Girona, Caen, Palermo, Arles, Portsmouth, Bastia, 'M\'gladbach', Oviedo, Pescara, Catania, Messina, Recreativo, Lille, Sampdoria, Novara, Stoke, Almeria, Karlsruhe, Fiorentina, Hamburg, Amiens, Elche, Le Havre, Wigan, Nantes, Barcelona, Atalanta, Blackburn, Livorno, Tottenham, Bologna, Ein Frankfurt, Udinese, Cadiz, Ipswich, Eibar, Wolfsburg, Valenciennes, Bayern Munich, Lyon, Reading, Boulogne, Brescia, Inter, Nurnberg, Birmingham, Lorient, Istres, Coventry, Perugia, West Brom, Metz, Celta, Liverpool, Angers, Valencia, Getafe, Leicester, Paris SG, Southampton, Genoa, Derby, Man City, Man United, Lecce, Albacete, Nice, Bournemouth, Duisburg, Sheffield United, Nottm Forest, Braunschweig, Dijon, Chelsea, Bolton, Stuttgart, Newcastle, Cagliari, Augsburg, Spal, Cesena, Salernitana, Reggina, Le Mans, Parma, Bochum, Charlton, Munich 1860, Troyes, Murcia, Ingolstadt, Hansa Rostock, Swansea, Ajaccio GFCO, Juventus, Arsenal, Treviso, Modena, St Pauli, Nancy, FC Koln, St Etienne, Malaga, Montpellier, Leeds, Monza, Mallorca, Hercules, Huesca, Villarreal, Guingamp, Santander, Cordoba, Chievo, Crotone, Hertha, Venezia, Betis, Sevilla, Greuther Furth, Union Berlin, Verona, Huddersfield, Werder Bremen, Blackpool, Brighton, Heidenheim, Las Palmas, Monaco, Hannover, Hoffenheim, Freiburg, Benevento, Frosinone, Everton, Ascoli, Bielefeld, Auxerre, Sedan, 'Nott\'m Forest', Piacenza, Aston Villa, Wolves, Sociedad, Paderborn, Alaves, Watford, Cremonese, Middlesbrough, Torino, Vallecano, Leverkusen, Aachen, Grenoble, Roma, Sassuolo, Cottbus, Marseille, Carpi, Burnley, Hull, Ajaccio, Granada, Fortuna Dusseldorf, Levante, Bordeaux, Crystal Palace, Nimes]"
Düsseldorf,dsseldorf,"[RB Leipzig, Unterhaching, Darmstadt, Milan, Sunderland, Strasbourg, Toulouse, Evian Thonon Gaillard, Brest, Fulham, Lens, Vicenza, Siena, Ancona, Napoli, Kaiserslautern, Mainz, Norwich, Brentford, Sp Gijon, West Ham, Spezia, Como, Rennes, Tenerife, Clermont, Xerez, Bari, Ath Madrid, Valladolid, Espanol, MGladbach, Reims, QPR, Leganes, Schalke 04, Holstein Kiel, Ath Bilbao, Empoli, Dortmund, Lazio, Real Madrid, Numancia, La Coruna, Osasuna, Cardiff, Luton, Sochaux, Zaragoza, Bradford, Girona, Caen, Palermo, Arles, Portsmouth, Bastia, 'M\'gladbach', Oviedo, Pescara, Catania, Messina, Recreativo, Lille, Sampdoria, Novara, Stoke, Almeria, Karlsruhe, Fiorentina, Hamburg, Amiens, Elche, Le Havre, Wigan, Nantes, Barcelona, Atalanta, Blackburn, Livorno, Tottenham, Bologna, Ein Frankfurt, Udinese, Cadiz, Ipswich, Eibar, Wolfsburg, Valenciennes, Bayern Munich, Lyon, Reading, Boulogne, Brescia, Inter, Nurnberg, Birmingham, Lorient, Istres, Coventry, Perugia, West Brom, Metz, Celta, Liverpool, Angers, Valencia, Getafe, Leicester, Paris SG, Southampton, Genoa, Derby, Man City, Man United, Lecce, Albacete, Nice, Bournemouth, Duisburg, Sheffield United, Nottm Forest, Braunschweig, Dijon, Chelsea, Bolton, Stuttgart, Newcastle, Cagliari, Augsburg, Spal, Cesena, Salernitana, Reggina, Le Mans, Parma, Bochum, Charlton, Munich 1860, Troyes, Murcia, Ingolstadt, Hansa Rostock, Swansea, Ajaccio GFCO, Juventus, Arsenal, Treviso, Modena, St Pauli, Nancy, FC Koln, St Etienne, Malaga, Montpellier, Leeds, Monza, Mallorca, Hercules, Huesca, Villarreal, Guingamp, Santander, Cordoba, Chievo, Crotone, Hertha, Venezia, Betis, Sevilla, Greuther Furth, Union Berlin, Verona, Huddersfield, Werder Bremen, Blackpool, Brighton, Heidenheim, Las Palmas, Monaco, Hannover, Hoffenheim, Freiburg, Benevento, Frosinone, Everton, Ascoli, Bielefeld, Auxerre, Sedan, 'Nott\'m Forest', Piacenza, Aston Villa, Wolves, Sociedad, Paderborn, Alaves, Watford, Cremonese, Middlesbrough, Torino, Vallecano, Leverkusen, Aachen, Grenoble, Roma, Sassuolo, Cottbus, Marseille, Carpi, Burnley, Hull, Ajaccio, Granada, Fortuna Dusseldorf, Levante, Bordeaux, Crystal Palace, Nimes]"
Eintracht Braunschweig,eintracht braunschweig,"[RB Leipzig, Unterhaching, Darmstadt, Milan, Sunderland, Strasbourg, Toulouse, Evian Thonon Gaillard, Brest, Fulham, Lens, Vicenza, Siena, Ancona, Napoli, Kaiserslautern, Mainz, Norwich, Brentford, Sp Gijon, West Ham, Spezia, Como, Rennes, Tenerife, Clermont, Xerez, Bari, Ath Madrid, Valladolid, Espanol, MGladbach, Reims, QPR, Leganes, Schalke 04, Holstein Kiel, Ath Bilbao, Empoli, Dortmund, Lazio, Real Madrid, Numancia, La Coruna, Osasuna, Cardiff, Luton, Sochaux, Zaragoza, Bradford, Girona, Caen, Palermo, Arles, Portsmouth, Bastia, 'M\'gladbach', Oviedo, Pescara, Catania, Messina, Recreativo, Lille, Sampdoria, Novara, Stoke, Almeria, Karlsruhe, Fiorentina, Hamburg, Amiens, Elche, Le Havre, Wigan, Nantes, Barcelona, Atalanta, Blackburn, Livorno, Tottenham, Bologna, Ein Frankfurt, Udinese, Cadiz, Ipswich, Eibar, Wolfsburg, Valenciennes, Bayern Munich, Lyon, Reading, Boulogne, Brescia, Inter, Nurnberg, Birmingham, Lorient, Istres, Coventry, Perugia, West Brom, Metz, Celta, Liverpool, Angers, Valencia, Getafe, Leicester, Paris SG, Southampton, Genoa, Derby, Man City, Man United, Lecce, Albacete, Nice, Bournemouth, Duisburg, Sheffield United, Nottm Forest, Braunschweig, Dijon, Chelsea, Bolton, Stuttgart, Newcastle, Cagliari, Augsburg, Spal, Cesena, Salernitana, Reggina, Le Mans, Parma, Bochum, Charlton, Munich 1860, Troyes, Murcia, Ingolstadt, Hansa Rostock, Swansea, Ajaccio GFCO, Juventus, Arsenal, Treviso, Modena, St Pauli, Nancy, FC Koln, St Etienne, Malaga, Montpellier, Leeds, Monza, Mallorca, Hercules, Huesca, Villarreal, Guingamp, Santander, Cordoba, Chievo, Crotone, Hertha, Venezia, Betis, Sevilla, Greuther Furth, Union Berlin, Verona, Huddersfield, Werder Bremen, Blackpool, Brighton, Heidenheim, Las Palmas, Monaco, Hannover, Hoffenheim, Freiburg, Benevento, Frosinone, Everton, Ascoli, Bielefeld, Auxerre, Sedan, 'Nott\'m Forest', Piacenza, Aston Villa, Wolves, Sociedad, Paderborn, Alaves, Watford, Cremonese, Middlesbrough, Torino, Vallecano, Leverkusen, Aachen, Grenoble, Roma, Sassuolo, Cottbus, Marseille, Carpi, Burnley, Hull, Ajaccio, Granada, Fortuna Dusseldorf, Levante, Bordeaux, Crystal Palace, Nimes]"
Eintracht Frankfurt,eintracht frankfurt,"[RB Leipzig, Unterhaching, Darmstadt, Milan, Sunderland, Strasbourg, Toulouse, Evian Thonon Gaillard, Brest, Fulham, Lens, Vicenza, Siena, Ancona, Napoli, Kaiserslautern, Mainz, Norwich, Brentford, Sp Gijon, West Ham, Spezia, Como, Rennes, Tenerife, Clermont, Xerez, Bari, Ath Madrid, Valladolid, Espanol, MGladbach, Reims, QPR, Leganes, Schalke 04, Holstein Kiel, Ath Bilbao, Empoli, Dortmund, Lazio, Real Madrid, Numancia, La Coruna, Osasuna, Cardiff, Luton, Sochaux, Zaragoza, Bradford, Girona, Caen, Palermo, Arles, Portsmouth, Bastia, 'M\'gladbach', Oviedo, Pescara, Catania, Messina, Recreativo, Lille, Sampdoria, Novara, Stoke, Almeria, Karlsruhe, Fiorentina, Hamburg, Amiens, Elche, Le Havre, Wigan, Nantes, Barcelona, Atalanta, Blackburn, Livorno, Tottenham, Bologna, Ein Frankfurt, Udinese, Cadiz, Ipswich, Eibar, Wolfsburg, Valenciennes, Bayern Munich, Lyon, Reading, Boulogne, Brescia, Inter, Nurnberg, Birmingham, Lorient, Istres, Coventry, Perugia, West Brom, Metz, Celta, Liverpool, Angers, Valencia, Getafe, Leicester, Paris SG, Southampton, Genoa, Derby, Man City, Man United, Lecce, Albacete, Nice, Bournemouth, Duisburg, Sheffield United, Nottm Forest, Braunschweig, Dijon, Chelsea, Bolton, Stuttgart, Newcastle, Cagliari, Augsburg, Spal, Cesena, Salernitana, Reggina, Le Mans, Parma, Bochum, Charlton, Munich 1860, Troyes, Murcia, Ingolstadt, Hansa Rostock, Swansea, Ajaccio GFCO, Juventus, Arsenal, Treviso, Modena, St Pauli, Nancy, FC Koln, St Etienne, Malaga, Montpellier, Leeds, Monza, Mallorca, Hercules, Huesca, Villarreal, Guingamp, Santander, Cordoba, Chievo, Crotone, Hertha, Venezia, Betis, Sevilla, Greuther Furth, Union Berlin, Verona, Huddersfield, Werder Bremen, Blackpool, Brighton, Heidenheim, Las Palmas, Monaco, Hannover, Hoffenheim, Freiburg, Benevento, Frosinone, Everton, Ascoli, Bielefeld, Auxerre, Sedan, 'Nott\'m Forest', Piacenza, Aston Villa, Wolves, Sociedad, Paderborn, Alaves, Watford, Cremonese, Middlesbrough, Torino, Vallecano, Leverkusen, Aachen, Grenoble, Roma, Sassuolo, Cottbus, Marseille, Carpi, Burnley, Hull, Ajaccio, Granada, Fortuna Dusseldorf, Levante, Bordeaux, Crystal Palace, Nimes]"
Energie Cottbus,energie cottbus,"[RB Leipzig, Unterhaching, Darmstadt, Milan, Sunderland, Strasbourg, Toulouse, Evian Thonon Gaillard, Brest, Fulham, Lens, Vicenza, Siena, Ancona, Napoli, Kaiserslautern, Mainz, Norwich, Brentford, Sp Gijon, West Ham, Spezia, Como, Rennes, Tenerife, Clermont, Xerez, Bari, Ath Madrid, Valladolid, Espanol, MGladbach, Reims, QPR, Leganes, Schalke 04, Holstein Kiel, Ath Bilbao, Empoli, Dortmund, Lazio, Real Madrid, Numancia, La Coruna, Osasuna, Cardiff, Luton, Sochaux, Zaragoza, Bradford, Girona, Caen, Palermo, Arles, Portsmouth, Bastia, 'M\'gladbach', Oviedo, Pescara, Catania, Messina, Recreativo, Lille, Sampdoria, Novara, Stoke, Almeria, Karlsruhe, Fiorentina, Hamburg, Amiens, Elche, Le Havre, Wigan, Nantes, Barcelona, Atalanta, Blackburn, Livorno, Tottenham, Bologna, Ein Frankfurt, Udinese, Cadiz, Ipswich, Eibar, Wolfsburg, Valenciennes, Bayern Munich, Lyon, Reading, Boulogne, Brescia, Inter, Nurnberg, Birmingham, Lorient, Istres, Coventry, Perugia, West Brom, Metz, Celta, Liverpool, Angers, Valencia, Getafe, Leicester, Paris SG, Southampton, Genoa, Derby, Man City, Man United, Lecce, Albacete, Nice, Bournemouth, Duisburg, Sheffield United, Nottm Forest, Braunschweig, Dijon, Chelsea, Bolton, Stuttgart, Newcastle, Cagliari, Augsburg, Spal, Cesena, Salernitana, Reggina, Le Mans, Parma, Bochum, Charlton, Munich 1860, Troyes, Murcia, Ingolstadt, Hansa Rostock, Swansea, Ajaccio GFCO, Juventus, Arsenal, Treviso, Modena, St Pauli, Nancy, FC Koln, St Etienne, Malaga, Montpellier, Leeds, Monza, Mallorca, Hercules, Huesca, Villarreal, Guingamp, Santander, Cordoba, Chievo, Crotone, Hertha, Venezia, Betis, Sevilla, Greuther Furth, Union Berlin, Verona, Huddersfield, Werder Bremen, Blackpool, Brighton, Heidenheim, Las Palmas, Monaco, Hannover, Hoffenheim, Freiburg, Benevento, Frosinone, Everton, Ascoli, Bielefeld, Auxerre, Sedan, 'Nott\'m Forest', Piacenza, Aston Villa, Wolves, Sociedad, Paderborn, Alaves, Watford, Cremonese, Middlesbrough, Torino, Vallecano, Leverkusen, Aachen, Grenoble, Roma, Sassuolo, Cottbus, Marseille, Carpi, Burnley, Hull, Ajaccio, Granada, Fortuna Dusseldorf, Levante, Bordeaux, Crystal Palace, Nimes]"
Espanyol,espanyol,"[RB Leipzig, Unterhaching, Darmstadt, Milan, Sunderland, Strasbourg, Toulouse, Evian Thonon Gaillard, Brest, Fulham, Lens, Vicenza, Siena, Ancona, Napoli, Kaiserslautern, Mainz, Norwich, Brentford, Sp Gijon, West Ham, Spezia, Como, Rennes, Tenerife, Clermont, Xerez, Bari, Ath Madrid, Valladolid, Espanol, MGladbach, Reims, QPR, Leganes, Schalke 04, Holstein Kiel, Ath Bilbao, Empoli, Dortmund, Lazio, Real Madrid, Numancia, La Coruna, Osasuna, Cardiff, Luton, Sochaux, Zaragoza, Bradford, Girona, Caen, Palermo, Arles, Portsmouth, Bastia, 'M\'gladbach', Oviedo, Pescara, Catania, Messina, Recreativo, Lille, Sampdoria, Novara, Stoke, Almeria, Karlsruhe, Fiorentina, Hamburg, Amiens, Elche, Le Havre, Wigan, Nantes, Barcelona, Atalanta, Blackburn, Livorno, Tottenham, Bologna, Ein Frankfurt, Udinese, Cadiz, Ipswich, Eibar, Wolfsburg, Valenciennes, Bayern Munich, Lyon, Reading, Boulogne, Brescia, Inter, Nurnberg, Birmingham, Lorient, Istres, Coventry, Perugia, West Brom, Metz, Celta, Liverpool, Angers, Valencia, Getafe, Leicester, Paris SG, Southampton, Genoa, Derby, Man City, Man United, Lecce, Albacete, Nice, Bournemouth, Duisburg, Sheffield United, Nottm Forest, Braunschweig, Dijon, Chelsea, Bolton, Stuttgart, Newcastle, Cagliari, Augsburg, Spal, Cesena, Salernitana, Reggina, Le Mans, Parma, Bochum, Charlton, Munich 1860, Troyes, Murcia, Ingolstadt, Hansa Rostock, Swansea, Ajaccio GFCO, Juventus, Arsenal, Treviso, Modena, St Pauli, Nancy, FC Koln, St Etienne, Malaga, Montpellier, Leeds, Monza, Mallorca, Hercules, Huesca, Villarreal, Guingamp, Santander, Cordoba, Chievo, Crotone, Hertha, Venezia, Betis, Sevilla, Greuther Furth, Union Berlin, Verona, Huddersfield, Werder Bremen, Blackpool, Brighton, Heidenheim, Las Palmas, Monaco, Hannover, Hoffenheim, Freiburg, Benevento, Frosinone, Everton, Ascoli, Bielefeld, Auxerre, Sedan, 'Nott\'m Forest', Piacenza, Aston Villa, Wolves, Sociedad, Paderborn, Alaves, Watford, Cremonese, Middlesbrough, Torino, Vallecano, Leverkusen, Aachen, Grenoble, Roma, Sassuolo, Cottbus, Marseille, Carpi, Burnley, Hull, Ajaccio, Granada, Fortuna Dusseldorf, Levante, Bordeaux, Crystal Palace, Nimes]"
Evian,evian,"[RB Leipzig, Unterhaching, Darmstadt, Milan, Sunderland, Strasbourg, Toulouse, Evian Thonon Gaillard, Brest, Fulham, Lens, Vicenza, Siena, Ancona, Napoli, Kaiserslautern, Mainz, Norwich, Brentford, Sp Gijon, West Ham, Spezia, Como, Rennes, Tenerife, Clermont, Xerez, Bari, Ath Madrid, Valladolid, Espanol, MGladbach, Reims, QPR, Leganes, Schalke 04, Holstein Kiel, Ath Bilbao, Empoli, Dortmund, Lazio, Real Madrid, Numancia, La Coruna, Osasuna, Cardiff, Luton, Sochaux, Zaragoza, Bradford, Girona, Caen, Palermo, Arles, Portsmouth, Bastia, 'M\'gladbach', Oviedo, Pescara, Catania, Messina, Recreativo, Lille, Sampdoria, Novara, Stoke, Almeria, Karlsruhe, Fiorentina, Hamburg, Amiens, Elche, Le Havre, Wigan, Nantes, Barcelona, Atalanta, Blackburn, Livorno, Tottenham, Bologna, Ein Frankfurt, Udinese, Cadiz, Ipswich, Eibar, Wolfsburg, Valenciennes, Bayern Munich, Lyon, Reading, Boulogne, Brescia, Inter, Nurnberg, Birmingham, Lorient, Istres, Coventry, Perugia, West Brom, Metz, Celta, Liverpool, Angers, Valencia, Getafe, Leicester, Paris SG, Southampton, Genoa, Derby, Man City, Man United, Lecce, Albacete, Nice, Bournemouth, Duisburg, Sheffield United, Nottm Forest, Braunschweig, Dijon, Chelsea, Bolton, Stuttgart, Newcastle, Cagliari, Augsburg, Spal, Cesena, Salernitana, Reggina, Le Mans, Parma, Bochum, Charlton, Munich 1860, Troyes, Murcia, Ingolstadt, Hansa Rostock, Swansea, Ajaccio GFCO, Juventus, Arsenal, Treviso, Modena, St Pauli, Nancy, FC Koln, St Etienne, Malaga, Montpellier, Leeds, Monza, Mallorca, Hercules, Huesca, Villarreal, Guingamp, Santander, Cordoba, Chievo, Crotone, Hertha, Venezia, Betis, Sevilla, Greuther Furth, Union Berlin, Verona, Huddersfield, Werder Bremen, Blackpool, Brighton, Heidenheim, Las Palmas, Monaco, Hannover, Hoffenheim, Freiburg, Benevento, Frosinone, Everton, Ascoli, Bielefeld, Auxerre, Sedan, 'Nott\'m Forest', Piacenza, Aston Villa, Wolves, Sociedad, Paderborn, Alaves, Watford, Cremonese, Middlesbrough, Torino, Vallecano, Leverkusen, Aachen, Grenoble, Roma, Sassuolo, Cottbus, Marseille, Carpi, Burnley, Hull, Ajaccio, Granada, Fortuna Dusseldorf, Levante, Bordeaux, Crystal Palace, Nimes]"
Gazélec Ajaccio,gazlec ajaccio,"[RB Leipzig, Unterhaching, Darmstadt, Milan, Sunderland, Strasbourg, Toulouse, Evian Thonon Gaillard, Brest, Fulham, Lens, Vicenza, Siena, Ancona, Napoli, Kaiserslautern, Mainz, Norwich, Brentford, Sp Gijon, West Ham, Spezia, Como, Rennes, Tenerife, Clermont, Xerez, Bari, Ath Madrid, Valladolid, Espanol, MGladbach, Reims, QPR, Leganes, Schalke 04, Holstein Kiel, Ath Bilbao, Empoli, Dortmund, Lazio, Real Madrid, Numancia, La Coruna, Osasuna, Cardiff, Luton, Sochaux, Zaragoza, Bradford, Girona, Caen, Palermo, Arles, Portsmouth, Bastia, 'M\'gladbach', Oviedo, Pescara, Catania, Messina, Recreativo, Lille, Sampdoria, Novara, Stoke, Almeria, Karlsruhe, Fiorentina, Hamburg, Amiens, Elche, Le Havre, Wigan, Nantes, Barcelona, Atalanta, Blackburn, Livorno, Tottenham, Bologna, Ein Frankfurt, Udinese, Cadiz, Ipswich, Eibar, Wolfsburg, Valenciennes, Bayern Munich, Lyon, Reading, Boulogne, Brescia, Inter, Nurnberg, Birmingham, Lorient, Istres, Coventry, Perugia, West Brom, Metz, Celta, Liverpool, Angers, Valencia, Getafe, Leicester, Paris SG, Southampton, Genoa, Derby, Man City, Man United, Lecce, Albacete, Nice, Bournemouth, Duisburg, Sheffield United, Nottm Forest, Braunschweig, Dijon, Chelsea, Bolton, Stuttgart, Newcastle, Cagliari, Augsburg, Spal, Cesena, Salernitana, Reggina, Le Mans, Parma, Bochum, Charlton, Munich 1860, Troyes, Murcia, Ingolstadt, Hansa Rostock, Swansea, Ajaccio GFCO, Juventus, Arsenal, Treviso, Modena, St Pauli, Nancy, FC Koln, St Etienne, Malaga, Montpellier, Leeds, Monza, Mallorca, Hercules, Huesca, Villarreal, Guingamp, Santander, Cordoba, Chievo, Crotone, Hertha, Venezia, Betis, Sevilla, Greuther Furth, Union Berlin, Verona, Huddersfield, Werder Bremen, Blackpool, Brighton, Heidenheim, Las Palmas, Monaco, Hannover, Hoffenheim, Freiburg, Benevento, Frosinone, Everton, Ascoli, Bielefeld, Auxerre, Sedan, 'Nott\'m Forest', Piacenza, Aston Villa, Wolves, Sociedad, Paderborn, Alaves, Watford, Cremonese, Middlesbrough, Torino, Vallecano, Leverkusen, Aachen, Grenoble, Roma, Sassuolo, Cottbus, Marseille, Carpi, Burnley, Hull, Ajaccio, Granada, Fortuna Dusseldorf, Levante, Bordeaux, Crystal Palace, Nimes]"
Gimnàstic,gimnstic,"[RB Leipzig, Unterhaching, Darmstadt, Milan, Sunderland, Strasbourg, Toulouse, Evian Thonon Gaillard, Brest, Fulham, Lens, Vicenza, Siena, Ancona, Napoli, Kaiserslautern, Mainz, Norwich, Brentford, Sp Gijon, West Ham, Spezia, Como, Rennes, Tenerife, Clermont, Xerez, Bari, Ath Madrid, Valladolid, Espanol, MGladbach, Reims, QPR, Leganes, Schalke 04, Holstein Kiel, Ath Bilbao, Empoli, Dortmund, Lazio, Real Madrid, Numancia, La Coruna, Osasuna, Cardiff, Luton, Sochaux, Zaragoza, Bradford, Girona, Caen, Palermo, Arles, Portsmouth, Bastia, 'M\'gladbach', Oviedo, Pescara, Catania, Messina, Recreativo, Lille, Sampdoria, Novara, Stoke, Almeria, Karlsruhe, Fiorentina, Hamburg, Amiens, Elche, Le Havre, Wigan, Nantes, Barcelona, Atalanta, Blackburn, Livorno, Tottenham, Bologna, Ein Frankfurt, Udinese, Cadiz, Ipswich, Eibar, Wolfsburg, Valenciennes, Bayern Munich, Lyon, Reading, Boulogne, Brescia, Inter, Nurnberg, Birmingham, Lorient, Istres, Coventry, Perugia, West Brom, Metz, Celta, Liverpool, Angers, Valencia, Getafe, Leicester, Paris SG, Southampton, Genoa, Derby, Man City, Man United, Lecce, Albacete, Nice, Bournemouth, Duisburg, Sheffield United, Nottm Forest, Braunschweig, Dijon, Chelsea, Bolton, Stuttgart, Newcastle, Cagliari, Augsburg, Spal, Cesena, Salernitana, Reggina, Le Mans, Parma, Bochum, Charlton, Munich 1860, Troyes, Murcia, Ingolstadt, Hansa Rostock, Swansea, Ajaccio GFCO, Juventus, Arsenal, Treviso, Modena, St Pauli, Nancy, FC Koln, St Etienne, Malaga, Montpellier, Leeds, Monza, Mallorca, Hercules, Huesca, Villarreal, Guingamp, Santander, Cordoba, Chievo, Crotone, Hertha, Venezia, Betis, Sevilla, Greuther Furth, Union Berlin, Verona, Huddersfield, Werder Bremen, Blackpool, Brighton, Heidenheim, Las Palmas, Monaco, Hannover, Hoffenheim, Freiburg, Benevento, Frosinone, Everton, Ascoli, Bielefeld, Auxerre, Sedan, 'Nott\'m Forest', Piacenza, Aston Villa, Wolves, Sociedad, Paderborn, Alaves, Watford, Cremonese, Middlesbrough, Torino, Vallecano, Leverkusen, Aachen, Grenoble, Roma, Sassuolo, Cottbus, Marseille, Carpi, Burnley, Hull, Ajaccio, Granada, Fortuna Dusseldorf, Levante, Bordeaux, Crystal Palace, Nimes]"
